subj,tau_pavlik,tau_weighted,s_pavlik,s_weighted,rt_r_pavlik,rt_n_pavlik,rt_r_weighted,rt_n_weighted,phi,d,w1
1501,-0.9,-0.7,0.27,0.27,0.21198090882787285,104,0.23604683009775698,104,0.1691780276206075,0.3331599934716684,2.492121348855042
1502,-0.8220418854269445,-0.7,0.23,0.2328556854230644,0.15332607435869078,135,0.18768550401966264,134,0.1441283183218302,0.2837966750195376,1.7651653493481605
1503,-0.8994138492213547,-0.7,0.23,0.23,0.17835640926512408,159,0.18867624363055566,159,0.1400845861145701,0.2773964458773968,1.891798270310056
1504,-0.7,-0.7,0.27,0.27,0.25806640450017854,64,0.2933725892825903,64,0.1891045932485628,0.3789909420291246,1.922448476021416
1505,-0.9,-0.9,0.23,0.23,0.46414356107481436,64,0.43765241981535774,64,0.0937847870652552,0.283550114694138,2.9454467013931325
1509,-0.9,-0.7,0.27,0.27,0.22499394697896896,71,0.23525577619448038,71,0.1786263423405361,0.3299127024598841,2.3695761434115736
1512,-0.7,-0.7,0.2377327228808821,0.27,0.20564294659542384,68,0.1246413546513587,67,0.1799688629196427,0.2877280337070288,1.2993381382316755
1517,-0.9,-0.9,0.27,0.27,0.23044760317297686,72,0.3701622453880429,72,0.206467319401744,0.4863917817022616,4.928410770485722
1518,-0.9,-0.7,0.23,0.23,0.2531522382488321,73,0.3283690071520102,72,0.1258344091321195,0.2905240357151445,2.7899676672404508
1521,-0.7,-0.7,0.2641867255459731,0.27,0.1227461763921625,79,0.13285884888059266,78,0.1410547732410954,0.2979702623660775,1.5335410568575394
1529,-0.7464475107028321,-0.7,0.27,0.27,-0.0430068688720007,116,-0.013634911600608618,116,0.105857956208205,0.2658815661598105,1.7404799125182402
1530,-0.7930866227279649,-0.7,0.27,0.27,0.19122524164807791,150,0.20752409443354933,150,0.0942169091821153,0.2956904048570649,2.571124585783732
1532,-0.7,-0.7,0.27,0.27,-0.15238793192211886,90,-0.0237970393439685,90,0.1331996381675457,0.4094270816366777,3.876746294874432
1535,-0.8814217220435021,-0.7,0.27,0.27,-0.026654472900330465,156,0.09672005400190137,156,0.01,0.0652747811150237,1.242775286175194
1536,-0.8234632596130824,-0.7,0.23,0.2377387191982254,0.2824093164694716,69,0.31848249995866124,69,0.2319120189700351,0.4040967790344996,2.450830367531123
1538,-0.7,-0.7001997037879745,0.27,0.27,-0.0029143611733096673,102,-0.07532918125119206,101,0.1055143110709589,0.2841430391066836,1.6152922263061775
