subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,d,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
1501,125,226.11044939890317,211.59310105583734,28,28,508.22089879780634,479.1862021116747,587.4136834422708,558.378986756139,-29.034696686131667,-29.034696686131724,0.30337268569759723,0.6391570070615151,0.9294827913260402,0.7113666005359096,0.9369940742862988,True,True
1502,156,211.83058991901004,182.96647595841685,28,28,479.6611798380201,421.9329519168337,565.0571480410072,507.32892011982074,-57.728227921186374,-57.72822792118643,0.25119513526110854,-2.6744677841955515,1.0985615384269076,0.42557183946880367,0.695221313868971,True,True
1503,173,2000233.3081152195,2000210.1228400564,28,28,4000522.616230439,4000476.245680113,4000610.908395085,4000564.537844759,-46.37055032607168,-46.37055032607168,0.2377913357518519,0.5329562382173797,-2.4495466356829003,0.5219747841175277,0.7124494899009371,True,True
1504,102,221.0794939712853,219.38905317893415,20,20,482.1589879425706,478.7781063578683,534.658444208256,531.2775626235536,-3.3808815847023084,-3.380881584702365,0.4419668297746501,-13.585892061042768,1.0465563554573087,0.6602098232003246,0.8014745859700091,True,True
1505,64,80.8328273917012,71.331549284689,28,28,217.6656547834024,198.663098569378,278.1143811174732,259.1118249034488,-19.002556214024395,-19.002556214024423,0.15552948502709493,0.577421067459507,1.1337109941111971,0.5887066406752901,3.880291530028166,True,True
1509,86,170.29071887337813,149.44308880735593,25,25,390.58143774675625,348.88617761471187,451.9401201530939,410.24486002104953,-41.69526013204438,-41.69526013204438,0.27187877529778565,-2.82611325634098,5.2021826918490275,0.5577292686193389,1.179251746219288,True,True
1512,120,220.3190951824659,190.03624571865706,28,28,496.6381903649318,436.0724914373141,574.6879591628291,514.1222602352113,-60.56569892761769,-60.565698927617746,0.40923407659297867,-3.2550004915185236,0.7989149218633823,0.6098053315990749,0.5863102590640112,True,True
1517,75,186.3657064978678,176.15312417239906,13,13,398.7314129957356,378.3062483447981,428.85875847170763,408.43359382077017,-20.42516465093746,-20.42516465093746,0.325403706126293,-3.8750694659914027,3.5890365105856112,0.5523965249080399,2.0728913301942575,True,True
1518,74,111.2876297256037,90.1312751762863,28,28,278.5752594512074,236.2625503525726,343.08908206092417,300.7763729622894,-42.3127090986348,-42.3127090986348,0.08551513416184844,-2.7539201121555337,1.4427582627813444,-18.693456420551687,4.6396558378940425,True,True
1521,112,205.3523090402456,209.69609619864286,28,28,466.7046180804912,475.3921923972857,542.8225864767538,551.5101607935484,8.687574316794553,8.687574316794553,0.3225809389055909,-2.7238988155244086,0.8571370886952817,-2.9475424588948145,0.9271049662506571,True,True
1529,136,199.12074691708722,208.23743280895394,28,28,454.24149383417443,472.4748656179079,535.7958306347839,554.0292024185173,18.233371783733446,18.233371783733446,0.22297818324056598,0.6800684605050933,0.856647716208959,0.6833834241265848,0.9589044725434654,True,True
1530,163,229.58699826782063,158.62820731639803,28,28,515.1739965356412,373.25641463279607,601.7990021582307,459.8814202553854,-141.91758190284514,-141.91758190284526,0.19323501499317264,-2.6312211706358752,1.2484598126718005,0.6832740859036864,0.566164259069716,True,True
1532,113,217.63688175811143,211.8087111016172,23,23,481.27376351622286,469.6174222032344,544.0036833466067,532.3473420336182,-11.656341312988445,-11.656341312988502,0.3340405603425109,0.7845164559089469,0.9746722434118184,0.786324916415186,1.0696270568526598,True,True
1535,159,74.99241291908949,61.00951595749406,28,28,205.98482583817898,178.01903191498812,291.91414350034546,263.9483495771546,-27.96579392319086,-27.96579392319086,-3.164137111985173,0.7672095966921993,0.09006704749525096,0.7605401990707499,0.8866883056641615,True,True
1536,121,1000256.3338722214,1000251.215141377,21,21,2000554.6677444428,2000544.430282754,2000613.3793459004,2000603.1418842115,-10.237461688928306,-10.237461688928306,0.48406625784318025,-2.3830426379897953,0.8376372752525477,-2.51568580634123,0.8550836124683895,True,True
1538,122,188.64268892136576,192.75142443205152,28,28,433.2853778427315,441.50284886410304,511.7979670952627,520.0154381166342,8.217471021371523,8.217471021371466,0.21837470797772804,0.8414038491617614,0.8445954961563888,0.858914815686291,0.9256634498277454,True,True
1540,99,148.5388369242389,141.3121378676876,28,28,353.0776738484778,338.6242757353752,425.7410296522463,411.2876315391437,-14.453398113102594,-14.453398113102594,0.09917971306703105,-2.5995422898362324,1.433383792847387,0.39628898656059036,3.8396700443809126,True,True
1542,109,195.69709751797683,190.99998139979817,28,28,447.39419503595366,437.99996279959635,522.7519357383696,513.3577035020123,-9.394232236357311,-9.394232236357311,0.35163638020303084,-2.6432244246995515,1.0789135975899558,0.5396229773786849,0.9472199161684994,True,True
1548,65,147.61884423152384,150.93134800753234,16,16,327.2376884630477,333.86269601506467,362.02788478137785,368.65289233339485,6.625007552016996,6.625007552016996,0.406178934238018,-2.6661125613188252,0.9201826746620557,-3.340560565218216,0.9845253949472677,True,True
1552,91,110.85874102431265,102.56913634788596,28,28,277.7174820486253,261.1382726957719,348.0215482310971,331.44233887824373,-16.57920935285341,-16.579209352853354,0.23125602283824542,0.8249895675465748,-2.763040449565101,0.8306289243312409,0.9122294273188147,True,True
1557,124,221.00774880926133,214.75854971836088,28,28,498.01549761852266,485.51709943672176,576.9833814554637,564.4849832736628,-12.498398181800894,-12.498398181800894,0.2580417774867079,0.3915191537374901,1.1650259039054498,0.39598341391160735,1.1814360767360836,True,True
28000,97,193.3991873519699,170.12441616053454,24,24,434.7983747039398,388.2488323210691,496.591438188021,450.04189580515026,-46.549542382870754,-46.549542382870754,0.22417274132101056,0.6316314628211339,1.228129148451329,0.7360852176182928,1.368012722257603,True,True
