subj,n_trials,converged,NLL,d,w1,tau,s,T0,F,status,message,nit,nfev
1501,151,True,199.2369880975671,0.33315999347166847,2.492121348855042,-0.7,0.27,0.6967002930425586,0.8622070467119277,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,17,161
1502,184,True,167.88035424802752,0.2837966750195376,1.7651653493481603,-0.7,0.23285568542306442,0.46072003491949975,0.6517021036108261,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,196
1503,199,True,205.60129180530927,0.2773964458773968,1.8917982703100558,-0.7,0.23,0.3406070555767457,1.1185781874319007,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,147
1504,120,True,167.42983716600736,0.3789909420291246,1.9224484760214162,-0.7,0.27,0.7441311283343864,0.6888343896672662,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,161
1505,91,True,80.19067112595714,0.28355011469413804,2.9454467013931325,-0.9,0.23,0.641154447839216,1.3886492467666613,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12,133
1509,113,True,148.93060321812052,0.3299127024598841,2.3695761434115736,-0.7,0.27,0.6970713536988007,0.7752002271224545,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,182
1512,145,True,162.99979664533413,0.2877280337070288,1.2993381382316755,-0.7,0.27,0.6606966964663153,0.6560953456315686,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,15,175
1517,96,True,205.97513406061685,0.4863917817022616,4.928410770485722,-0.9,0.27,0.5318873545079448,2.0,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,140
1518,104,True,110.68243587258522,0.2905240357151445,2.7899676672404508,-0.7,0.23,0.39070724189462713,1.3983255760112527,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,15,154
1521,141,True,185.40600144982525,0.29797026236607754,1.5335410568575394,-0.7,0.27,0.4010000932918609,0.6844610666380027,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,406
1529,161,True,192.8502305875974,0.26588156615981057,1.7404799125182402,-0.7,0.27,0.6875477301007944,0.7898928362400547,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,154
1530,191,True,174.13441959923705,0.29569040485706494,2.571124585783732,-0.7,0.27,0.6833547417202205,0.5982047140173843,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,20,154
